mechanism,one_physical_metric,baryons_plus_universal_boundary_uniquely_fix_state,no_freely_initialized_halo_profile,orientation_carrying_tracefree_response,covariant_variational_or_causal_effective_definition,positive_constraint_and_kinetic_structure,luminal_tensor_cone_structural,solar_screening_structural,at_most_five_universal_constants,materially_distinct_from_sigma_v1_and_v2,hard_gate_pass,failed_requirement_count,failed_requirements,universal_constants,prior_art_boundary,disposition
sigma_v1_single_nonmetricity_scalar,True,True,True,False,True,False,True,True,True,False,False,3,orientation_carrying_tracefree_response;positive_constraint_and_kinetic_structure;materially_distinct_from_sigma_v1_and_v2,1,f(Q) and AQUAL comparator,retired by exact AQUAL reduction and raw topology failure
sigma_v2_second_trace_scalar,True,True,True,False,True,False,True,True,True,False,False,3,orientation_carrying_tracefree_response;positive_constraint_and_kinetic_structure;materially_distinct_from_sigma_v1_and_v2,1,general quadratic nonmetricity and QUMOND comparator,retired by exact QUMOND reduction and raw topology failure
free_generalized_aether_concentration,True,False,False,True,True,True,True,False,True,True,False,3,baryons_plus_universal_boundary_uniquely_fix_state;no_freely_initialized_halo_profile;solar_screening_structural,5,generalized Einstein-Aether cluster lensing,inadmissible if the vector concentration is an independently initialized halo-like profile
baryon_current_sourced_vector,True,True,True,True,True,True,True,False,True,True,False,1,solar_screening_structural,4,vector-tensor and gravitomagnetic response,hold only as a null control; a static baryon current is velocity-suppressed and large coupling risks preferred-frame bounds
naive_local_tracefree_tensor,True,True,True,True,True,False,True,False,True,True,False,2,positive_constraint_and_kinetic_structure;solar_screening_structural,3,generic symmetric-tensor auxiliary field,"reject the naive component kinetic term; require a Fierz-Pauli, gauge, or degenerate constraint proof"
localized_retarded_tensor_pair,True,True,True,True,False,False,True,True,True,True,False,2,covariant_variational_or_causal_effective_definition;positive_constraint_and_kinetic_structure,3,local auxiliary representation of a retarded nonlocal response,reject as a fundamental two-field localization because its cross-kinetic matrix has one negative eigenvalue
pure_metric_nonlocal_mond_scalar,True,True,True,False,True,False,True,True,True,True,False,2,orientation_carrying_tracefree_response;positive_constraint_and_kinetic_structure,3,published pure-metric nonlocal MOND with sufficient lensing,"retain as a prior-art comparator, not a novelty claim or a raw-shear solution"
luminal_dhost_tidal_scalar,True,False,False,True,True,True,True,False,True,True,False,3,baryons_plus_universal_boundary_uniquely_fix_state;no_freely_initialized_halo_profile;solar_screening_structural,5,luminal degenerate higher-order scalar-tensor gravity after GW170817,possible local framework only after a specific action proves the scalar homogeneous mode is universally fixed and its screening survives inside matter
cuscuton_minimally_modified_constraint,True,True,True,False,True,True,True,True,True,True,False,1,orientation_carrying_tracefree_response,3,cuscuton and two-degree-of-freedom minimally modified gravity,retain as a constraint-safe control; studied regular static spherical solutions coincide with GR and it lacks the required trace-free response
degenerate_baryon_forced_tidal_geometry,True,True,True,True,False,False,False,False,True,True,False,4,covariant_variational_or_causal_effective_definition;positive_constraint_and_kinetic_structure;luminal_tensor_cone_structural;solar_screening_structural,3,target class only; exact degenerate action not yet selected,preferred Sigma v3 derivation target; do not freeze until the four unresolved structural gates are proved
causal_pure_metric_nonlocal_tidal_response,True,True,True,True,False,False,False,True,True,True,False,3,covariant_variational_or_causal_effective_definition;positive_constraint_and_kinetic_structure;luminal_tensor_cone_structural,3,nonlocal metric MOND is prior art; a trace-free raw-topology prediction would need a distinct derivation,fallback Sigma v3 lane only if an in-in causal definition has no free homogeneous data or extra propagator pole
